evi_t01,evi_t02,evi_t03,evi_t04,evi_t05,evi_t06,evi_t07,evi_t08,evi_t09,evi_t10,evi_t11,evi_t12,evi_t13,evi_t14,evi_t15,evi_t16,evi_t17,evi_t18,evi_t19,evi_t20,evi_t21,evi_t22,evi_t23
0.148800001,0.164199993,0.206599996,0.143600002,0.201499999,0.283800006,0.310099989,0.335099995,0.212899998,0.147,0.088200003,0.329100013,0.534099996,0.536800027,0.465200007,0.468600005,0.2949,0.287699997,0.1655,0.1391,0.128900006,0.113600001,0.170599997
0.219799995,0.223299995,0.206599996,0.224000007,0.312099993,0.386599988,0.392699987,0.426099986,0.335700005,0.213799998,0.111199997,0.208000004,0.569999993,0.633400023,0.630400002,0.415399998,0.412299991,0.287699997,0.232600004,0.175799996,0.198599994,0.169699997,0.182500005
0.238800004,0.244900003,0.270900011,0.274199992,0.349000007,0.411599994,0.40290001,0.43779999,0.337399989,0.198699996,0.111199997,0.350800008,0.569999993,0.633400023,0.656199992,0.569100022,0.450800002,0.349999994,0.229200006,0.157900006,0.163000003,0.165299997,0.201800004
0.203500003,0.177699998,0.264999986,0.343100011,0.312599987,0.307900012,0.303600013,0.408100009,0.298000008,0.1708,0.0911,0.350800008,0.56309998,0.556699991,0.539499998,0.352299988,0.396299988,0.206499994,0.229200006,0.157800004,0.163000003,0.151999995,0.140400007
0.224900007,0.126699999,0.2509,0.298900008,0.275200009,0.351099998,0.363700002,0.408100009,0.296900004,0.178800002,0.085600004,0.357199997,0.530399978,0.628700018,0.546800017,0.417699993,0.324999988,0.335000008,0.316000015,0.115900002,0.114100002,0.1435,0.160699993
0.198599994,0.080600001,0.262400001,0.265500009,0.337599993,0.385199994,0.421299994,0.397399992,0.325800002,0.225199997,0.116300002,0.364300013,0.470099986,0.673900008,0.630999982,0.408800006,0.351000011,0.344300002,0.305000007,0.125200003,0.167799994,0.169200003,0.172000006
0.263599992,0.221100003,0.300799996,0.314200014,0.340600014,0.451799989,0.517400026,0.506900013,0.366600007,0.186900005,0.105599999,0.410100013,0.655700028,0.721199989,0.5898,0.452300012,0.379999995,0.381999999,0.315100014,0.118299998,0.165800005,0.216600001,0.159099996
0.252499998,0.250800014,0.2588,0.294200003,0.335399985,0.437900007,0.500400007,0.468899995,0.381199986,0.195500001,0.107799999,0.388700008,0.576499999,0.653699994,0.5898,0.479000002,0.395999998,0.381999999,0.315100014,0.108599998,0.156499997,0.216600001,0.156200007
0.224199995,0.250800014,0.244499996,0.269899994,0.363999993,0.437900007,0.453399986,0.422300011,0.365700007,0.195500001,0.067199998,0.360100001,0.531300008,0.653699994,0.557500005,0.37470001,0.418500006,0.372500002,0.283800006,0.126399994,0.156499997,0.186800003,0.156200007
0.224199995,0.250800014,0.244499996,0.269899994,0.363999993,0.437900007,0.453399986,0.422300011,0.365700007,0.195500001,0.067199998,0.360100001,0.531300008,0.653699994,0.557500005,0.37470001,0.418500006,0.372500002,0.283800006,0.126399994,0.156499997,0.186800003,0.156200007
0.205400005,0.229599997,0.263900012,0.269899994,0.313800007,0.386700004,0.453399986,0.422300011,0.334199995,0.216800004,0.1338,0.360100001,0.470600009,0.628499985,0.557500005,0.2958,0.296400011,0.283499986,0.283800006,0.126399994,0.174799994,0.186800003,0.151999995
0.1237,0.123899996,0.110399999,0.1303,0.215299994,0.206699997,0.209399998,0.309199989,0.264899999,0.191400006,0.112400003,0.322100014,0.406100005,0.579400003,0.493600011,0.461100012,0.347000003,0.359200001,0.210099995,0.151299998,0.141200006,0.113799997,0.128099993
0.142000005,0.123899996,0.174199998,0.1303,0.169699997,0.265199989,0.392399997,0.344199985,0.315600008,0.191400006,0.112400003,0.098300003,0.534399986,0.579400003,0.490099996,0.52759999,0.347000003,0.359200001,0.210099995,0.127100006,0.141200006,0.1796,0.164299995
0.168200001,0.168200001,0.217700005,0.253399998,0.286799997,0.345999986,0.41049999,0.391499996,0.315600008,0.202099994,0.107600004,0.33860001,0.524999976,0.6171,0.547399998,0.52759999,0.502600014,0.354000002,0.270399988,0.149399996,0.192200005,0.1796,0.178200007
